state,country,lat,long,date,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
hunan,china,27.6104,111.7088,2020-03-23,1018,-66782,4,-3149,1014.0,-58865.0
hunan,china,27.6104,111.7088,2020-03-24,1018,-66783,4,-3156,1014.0,-59310.0
hunan,china,27.6104,111.7088,2020-03-25,1018,-66783,4,-3159,1014.0,-59797.0
hunan,china,27.6104,111.7088,2020-03-26,1018,-66783,4,-3165,1014.0,-60187.0
hunan,china,27.6104,111.7088,2020-03-27,1018,-66783,4,-3170,1014.0,-60718.0
hunan,china,27.6104,111.7088,2020-03-28,1018,-66783,4,-3173,1014.0,-61084.0
hunan,china,27.6104,111.7088,2020-03-29,1018,-66783,4,-3178,1014.0,-61556.0
hunan,china,27.6104,111.7088,2020-03-30,1018,-66783,4,-3182,1014.0,-61875.0
hunan,china,27.6104,111.7088,2020-03-31,1018,-66783,4,-3183,1014.0,-62139.0
hunan,china,27.6104,111.7088,2020-04-01,1018,-66784,4,-3189,1014.0,-62312.0
hunan,china,27.6104,111.7088,2020-04-02,1019,-66783,4,-3195,1014.0,-62457.0
