index_x,state,country,lat,long,date,confirmed,confirmed_new,index_y,deaths,deaths_new,index,recovered,recovered_new
13728,guangdong,china,23.3417,113.4244,2020-03-15,1360,4,13728,8,0,12977.0,1304.0,5.0
13986,guangdong,china,23.3417,113.4244,2020-03-16,1361,1,13986,8,0,13221.0,1306.0,2.0
14244,guangdong,china,23.3417,113.4244,2020-03-17,1364,3,14244,8,0,13465.0,1307.0,1.0
14502,guangdong,china,23.3417,113.4244,2020-03-18,1370,6,14502,8,0,13709.0,1313.0,6.0
14760,guangdong,china,23.3417,113.4244,2020-03-19,1378,8,14760,8,0,13953.0,1318.0,5.0
15018,guangdong,china,23.3417,113.4244,2020-03-20,1395,17,15018,8,0,14197.0,1323.0,5.0
15276,guangdong,china,23.3417,113.4244,2020-03-21,1400,5,15276,8,0,14441.0,1325.0,2.0
15534,guangdong,china,23.3417,113.4244,2020-03-22,1413,13,15534,8,0,14685.0,1329.0,4.0
15792,guangdong,china,23.3417,113.4244,2020-03-23,1415,2,15792,8,0,14929.0,1332.0,3.0
16050,guangdong,china,23.3417,113.4244,2020-03-24,1428,13,16050,8,0,15173.0,1333.0,1.0
16308,guangdong,china,23.3417,113.4244,2020-03-25,1433,5,16308,8,0,15417.0,1336.0,3.0
16566,guangdong,china,23.3417,113.4244,2020-03-26,1448,15,16566,8,0,15661.0,1336.0,0.0
16824,guangdong,china,23.3417,113.4244,2020-03-27,1456,8,16824,8,0,15905.0,1337.0,1.0
17082,guangdong,china,23.3417,113.4244,2020-03-28,1467,11,17082,8,0,16149.0,1341.0,4.0
17340,guangdong,china,23.3417,113.4244,2020-03-29,1475,8,17340,8,0,16393.0,1349.0,8.0
17598,guangdong,china,23.3417,113.4244,2020-03-30,1484,9,17598,8,0,16637.0,1351.0,2.0
17856,guangdong,china,23.3417,113.4244,2020-03-31,1494,10,17856,8,0,16881.0,1356.0,5.0
18114,guangdong,china,23.3417,113.4244,2020-04-01,1501,7,18114,8,0,17125.0,1357.0,1.0
18372,guangdong,china,23.3417,113.4244,2020-04-02,1507,6,18372,8,0,17369.0,1365.0,8.0
