state,country,lat,long,date,confirmed,confirmed_new,deaths,deaths_new,recovered,recovered_new
faroe-islands,denmark,61.8926,-6.9118,2020-03-22,115,-1211,0,-13,0.0,-1.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-23,118,-1277,0,-13,0.0,-1.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-24,122,-1328,0,-24,33.0,32.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-25,132,-1459,0,-32,38.0,37.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-26,140,-1584,0,-34,47.0,46.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-27,144,-1733,0,-41,54.0,53.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-28,155,-1891,0,-52,54.0,53.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-29,159,-2042,0,-65,70.0,69.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-30,168,-2227,0,-72,70.0,69.0
faroe-islands,denmark,61.8926,-6.9118,2020-03-31,169,-2408,0,-77,74.0,73.0
faroe-islands,denmark,61.8926,-6.9118,2020-04-01,173,-2687,0,-90,75.0,74.0
faroe-islands,denmark,61.8926,-6.9118,2020-04-02,177,-2930,0,-104,81.0,-813.0
